date,usd_buy_black_market,usd_sell_black_market,usd_buy_bank,usd_sell_bank,usd_deposit_bank,gap_black_market,gap_bank,difference_buy,difference_sell
26-10-2020,23190,23230,23060,23270,23090,40,210,0.005637467476149238,-0.001718951439621863
27-10-2020,23190,23220,23060,23270,23090,30,210,0.005637467476149238,-0.0021486892995272733
28-10-2020,23200,23220,23060,23270,23090,20,210,0.006071118820468291,-0.0021486892995272733
29-10-2020,23220,23260,23060,23270,23090,40,210,0.006938421509106618,-0.00042973785990541025
30-10-2020,23230,23270,23060,23270,23090,40,210,0.007372072853425893,0.0
31-10-2020,23230,23270,23060,23270,23090,40,210,0.007372072853425893,0.0
01-11-2020,23230,23270,23060,23270,23090,40,210,0.007372072853425893,0.0
02-11-2020,23220,23260,23060,23270,23090,40,210,0.006938421509106618,-0.00042973785990541025
03-11-2020,23210,23240,23060,23270,23090,30,210,0.0065047701647875655,-0.0012892135797163418
04-11-2020,23200,23250,23060,23270,23090,50,210,0.006071118820468291,-0.0008594757198109315
05-11-2020,23210,23250,23060,23270,23090,40,210,0.0065047701647875655,-0.0008594757198109315
06-11-2020,23200,23240,23060,23270,23090,40,210,0.006071118820468291,-0.0012892135797163418
07-11-2020,23200,23230,23060,23270,23090,30,210,0.006071118820468291,-0.001718951439621863
08-11-2020,23200,23230,23060,23270,23090,30,210,0.006071118820468291,-0.001718951439621863
09-11-2020,23200,23230,23060,23270,23090,30,210,0.006071118820468291,-0.001718951439621863
10-11-2020,23200,23250,23060,23270,23090,50,210,0.006071118820468291,-0.0008594757198109315
11-11-2020,23190,23220,23060,23270,23090,30,210,0.005637467476149238,-0.0021486892995272733
12-11-2020,23190,23220,23060,23270,23090,30,210,0.005637467476149238,-0.0021486892995272733
13-11-2020,23200,23230,23060,23270,23090,30,210,0.006071118820468291,-0.001718951439621863
14-11-2020,23200,23220,23060,23270,23090,20,210,0.006071118820468291,-0.0021486892995272733
15-11-2020,23200,23220,23060,23270,23090,20,210,0.006071118820468291,-0.0021486892995272733
16-11-2020,23190,23220,23055,23265,23085,30,210,0.005855562784645496,-0.0019342359767892114
17-11-2020,23190,23210,23050,23260,23080,20,210,0.006073752711496683,-0.002149613069647449
18-11-2020,23180,23210,23060,23270,23090,30,210,0.005203816131829964,-0.0025784271594327945
19-11-2020,23180,23210,23060,23270,23090,30,210,0.005203816131829964,-0.0025784271594327945
20-11-2020,23190,23220,23055,23265,23085,30,210,0.005855562784645496,-0.0019342359767892114
